game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
47512,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,0,2,0.5,17.0,1,1,1,1,1.0,2.0,BLUE
47513,first_blood,dragon,other,dragon,tower_bot,RED,2,0,0,0,0.0,0.0,0,1,1,0,0.0,0.0,BLUE
47514,first_blood,other,dragon,tower_bot,other,BLUE,1,1,2,3,0.67,1.2,0,0,0,0,0.0,0.0,BLUE
47515,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,0,0,0.0,0.0,1,1,1,2,0.5,2.17,RED
47516,first_blood,dragon,other,dragon,other,BLUE,0,0,0,2,0.5,3.2,2,0,2,3,0.33,24.5,BLUE
47517,first_blood,dragon,other,dragon,other,BLUE,2,0,2,0,0.0,0.0,0,0,0,2,0.5,2.0,BLUE
47518,first_blood,dragon,other,dragon,tower_bot,RED,1,1,1,1,0.0,1.83,1,0,0,0,0.0,0.0,BLUE
47520,dragon,first_blood,other,dragon,other,BLUE,2,0,0,0,0.0,0.0,0,0,2,2,0.5,2.17,RED
47015,first_blood,dragon,other,dragon,other,RED,0,0,1,0,0.0,0.0,2,0,1,0,0.0,0.0,RED
47018,first_blood,dragon,other,dragon,other,RED,1,0,2,1,1.0,11.0,1,0,0,1,1.0,1.0,BLUE
47022,first_blood,dragon,other,dragon,other,RED,1,0,1,0,0.0,0.0,1,0,1,3,0.33,4.44,RED
47023,first_blood,dragon,other,dragon,other,RED,1,0,0,1,0.0,3.2,1,0,2,0,0.0,0.0,BLUE
47545,first_blood,dragon,dragon,other,tower_bot,RED,0,0,1,0,0.0,0.0,2,1,0,1,1.0,0.67,RED
47546,first_blood,dragon,dragon,other,tower_bot,BLUE,1,1,0,2,0.5,6.5,1,0,1,3,1.0,9.33,RED
47551,first_blood,dragon,other,dragon,tower_bot,RED,0,0,1,1,1.0,11.0,2,1,0,0,0.0,0.0,RED
47552,first_blood,dragon,other,dragon,tower_bot,RED,0,1,1,0,0.0,0.0,2,0,0,4,1.0,4.71,RED
47563,first_blood,dragon,tower_bot,other,other,BLUE,1,1,1,4,0.75,9.0,0,0,1,5,0.6,2.46,BLUE
47564,first_blood,other,dragon,other,dragon,RED,1,0,0,13,0.38,3.12,1,0,2,11,0.82,6.78,RED
47566,dragon,first_blood,other,dragon,tower_bot,BLUE,2,1,1,11,0.55,7.75,0,0,0,0,0.0,0.0,BLUE
47567,first_blood,dragon,other,other,dragon,RED,1,0,1,11,0.55,7.75,1,0,1,0,0.0,0.0,BLUE
46556,first_blood,dragon,other,dragon,tower_bot,RED,1,1,0,0,0.0,0.0,1,0,1,0,0.0,0.0,RED
46563,dragon,other,first_blood,dragon,tower_bot,BLUE,1,0,0,5,0.6,6.5,1,1,1,2,0.5,5.75,BLUE
46564,first_blood,dragon,other,dragon,tower_bot,RED,1,1,1,0,0.0,0.0,1,0,0,2,0.5,1.78,BLUE
48617,dragon,first_blood,other,dragon,other,RED,0,0,1,4,0.75,3.5,2,0,1,2,1.0,6.0,RED
48618,first_blood,dragon,other,dragon,other,RED,1,0,1,4,0.75,3.5,1,0,1,2,1.0,6.0,BLUE
48619,first_blood,other,dragon,dragon,tower_bot,RED,2,1,0,7,0.29,34.0,0,0,1,4,0.75,3.5,RED
